student_id,age,gender,city,course_stream,study_hours_per_week,attendance_rate,prior_gpa_10pt,has_internet,device_type,parental_education,test_score,admission_date,fee_paid_inr,scholarship,comments,attendance_rate_pct,attendance_category,gpa_band,study_hours_bin,study_hours_qbin
S0038,16,Female,Mumbai,EE,22.5,68.9,7.73,Yes,Laptop,Phd,84.6,17-01-2023,58429.0,Yes,Late enrollment,68.9,Medium (50-75%),Medium (5-8),20+,Q4
S0039,17,Female,Mumbai,ME,7.0,103.2,6.77,Yes,Tablet,NONE,80.3,29-09-2023,59427.0,Partial,Prefers evening classes,100.0,High (>75%),Medium (5-8),6-10,Q1
S0040,23,NONE,Remote,CS,5.9,96.9,7.15,Yes,Laptop,High School,75.6,05-10-2023,59702.0,Yes,Transferred from another program,96.9,High (>75%),Medium (5-8),6-10,Q1
S0041,25,Female,Kolkata,CS,17.8,94.0,5.9,Yes,Mobile,NONE,84.0,22-06-2024,65821.0,No,Prefers evening classes,94.0,High (>75%),Medium (5-8),16-20,Q4
S0042,23,Male,Kolkata,EE,16.0,60.5,7.94,No,Tablet,High School,85.5,02-02-2025,60416.0,Partial,,60.5,Medium (50-75%),Medium (5-8),16-20,Q4
S0043,22,Male,Pune,BSC,15.1,55.3,7.91,Yes,NONE,Undergrad,88.7,05-02-2024,65861.0,NONE,,55.3,Medium (50-75%),Medium (5-8),16-20,Q3
S0044,21,Female,Delhi,NONE,15.1,85.1,6.83,No,NONE,NONE,77.7,07-03-2025,59354.0,No,Good coder,85.1,High (>75%),Medium (5-8),16-20,Q3
S0045,16,Male,Bengaluru,ECE,11.9,100.8,7.59,No,Mobile,NONE,65.5,09-06-2024,60629.0,NONE,Good coder,100.0,High (>75%),Medium (5-8),11-15,Q2
S0046,19,Male,Mumbai,BSC,7.5,78.4,5.7,No,Mobile,Postgrad,70.2,04-07-2024,44014.0,Yes,,78.4,High (>75%),Medium (5-8),6-10,Q1
S0047,20,Female,Kolkata,MCA,12.4,79.3,8.31,No,Laptop,Undergrad,86.1,26-08-2025,60370.5,No,Transferred from another program,79.3,High (>75%),High (>8),11-15,Q3
S0048,26,Female,Pune,NONE,8.6,61.8,6.98,Yes,NONE,NONE,55.7,14-01-2025,62772.0,NONE,Late enrollment,61.8,Medium (50-75%),Medium (5-8),6-10,Q1
S0049,23,Male,Chennai,EE,16.9,91.2,6.57,NONE,Laptop,High School,73.5,14-04-2024,67984.0,Partial,Late enrollment,91.2,High (>75%),Medium (5-8),16-20,Q4
S0050,16,Female,Pune,MCA,11.3,56.2,8.46,No,Mobile,Phd,62.1,03-04-2023,36830.0,Yes,Needs scholarship support,56.2,Medium (50-75%),High (>8),11-15,Q2
S0051,23,Female,Mumbai,BSC,0.0,64.4,6.35,No,Laptop,High School,68.4,17-05-2025,76707.0,NONE,,64.4,Medium (50-75%),Medium (5-8),0-5,
S0052,21,Female,Mumbai,MCA,10.4,70.5,5.51,No,Tablet,NONE,87.2,12-03-2024,58883.0,Yes,,70.5,Medium (50-75%),Medium (5-8),11-15,Q2
S0053,19,Prefer_not_to_say,Pune,EE,14.1,75.5,5.33,No,NONE,NONE,70.9,17-05-2024,68865.0,NONE,,75.5,High (>75%),Medium (5-8),11-15,Q3
S0054,24,Male,Bengaluru,ME,9.2,59.5,7.93,No,Tablet,High School,68.7,17-03-2023,51681.0,Partial,,59.5,Medium (50-75%),Medium (5-8),6-10,Q2
S0055,26,Other,Hyderabad,CS,7.9,51.9,5.66,No,Laptop,Phd,47.6,26-11-2023,60370.5,No,Late enrollment,51.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0056,26,Male,Mumbai,ECE,13.2,81.6,9.31,No,Laptop,Undergrad,79.2,03-09-2023,51573.0,NONE,Transferred from another program,81.6,High (>75%),High (>8),11-15,Q3
S0057,19,Male,Pune,MCA,13.2,62.3,4.7,NONE,Desktop,NONE,77.7,09-10-2023,55010.0,Yes,Good coder,62.3,Medium (50-75%),Low (<5),11-15,Q3
S0058,21,Male,Kolkata,EE,9.5,79.9,9.24,Yes,Laptop,Postgrad,70.9,26-01-2024,75312.0,Partial,Late enrollment,79.9,High (>75%),High (>8),6-10,Q2
S0059,23,Female,Pune,ME,9.6,54.3,7.45,Yes,NONE,High School,63.4,04-09-2024,58475.0,No,,54.3,Medium (50-75%),Medium (5-8),6-10,Q2
S0060,26,Female,Delhi,NONE,13.2,73.9,7.08,Yes,NONE,High School,70.9,12-04-2023,61739.0,Yes,,73.9,Medium (50-75%),Medium (5-8),11-15,Q3
S0061,20,Other,Hyderabad,BSC,4.8,77.0,6.55,No,Laptop,Postgrad,71.7,23-05-2025,66961.0,Partial,Good coder,77.0,High (>75%),Medium (5-8),0-5,Q1
S0062,21,NONE,Chennai,CS,5.0,48.1,7.68,No,Laptop,High School,91.7,16-03-2024,63965.0,Yes,Transferred from another program,48.1,Low (<50%),Medium (5-8),0-5,Q1
S0063,18,Male,Bengaluru,NONE,0.0,65.2,7.15,No,Tablet,Postgrad,66.6,28-06-2025,61203.0,Partial,Transferred from another program,65.2,Medium (50-75%),Medium (5-8),0-5,
S0064,17,Other,Remote,EE,10.9,53.1,8.52,No,NONE,Postgrad,72.2,28-02-2024,62920.0,No,Transferred from another program,53.1,Medium (50-75%),High (>8),11-15,Q2
S0065,25,Prefer_not_to_say,Chennai,ECE,13.6,48.8,7.34,Yes,Laptop,Postgrad,77.1,27-04-2025,79227.0,No,,48.8,Low (<50%),Medium (5-8),11-15,Q3
S0066,27,Female,Hyderabad,BSC,19.4,104.4,7.38,No,Desktop,Phd,70.8,13-02-2024,59539.0,Yes,,100.0,High (>75%),Medium (5-8),16-20,Q4
S0067,22,Female,Hyderabad,ME,16.3,64.3,6.76,Yes,Mobile,Undergrad,61.3,17-01-2025,61609.0,Partial,Late enrollment,64.3,Medium (50-75%),Medium (5-8),16-20,Q4
S0068,26,NONE,NONE,BSC,11.2,93.6,7.13,Yes,NONE,Undergrad,70.9,17-11-2023,68405.0,NONE,Transferred from another program,93.6,High (>75%),Medium (5-8),11-15,Q2
S0069,23,Male,Chennai,NONE,11.9,60.3,7.57,No,Laptop,NONE,84.1,17-11-2023,68844.0,No,Needs scholarship support,60.3,Medium (50-75%),Medium (5-8),11-15,Q2
S0070,20,Male,Kolkata,NONE,7.0,85.9,5.15,Yes,Mobile,Phd,52.6,19-01-2024,69496.0,NONE,Transferred from another program,85.9,High (>75%),Medium (5-8),6-10,Q1
S0071,23,Male,Hyderabad,NONE,11.9,90.6,5.58,Yes,Tablet,NONE,70.0,12-04-2024,65110.0,NONE,Transferred from another program,90.6,High (>75%),Medium (5-8),11-15,Q2
S0072,28,Male,Pune,MBA,10.6,80.7,8.09,Yes,Desktop,NONE,57.5,10-03-2023,50856.0,Yes,Good coder,80.7,High (>75%),High (>8),11-15,Q2
S0073,22,Male,Chennai,BSC,13.6,73.3,7.41,No,NONE,Undergrad,85.9,01-05-2025,73067.0,Yes,Prefers evening classes,73.3,Medium (50-75%),Medium (5-8),11-15,Q3
S0074,28,Male,Remote,NONE,7.9,69.7,6.98,No,Mobile,Undergrad,45.2,04-06-2023,50829.0,Yes,Good coder,69.7,Medium (50-75%),Medium (5-8),6-10,Q1
S0075,16,Female,Hyderabad,NONE,14.6,65.9,7.22,Yes,Laptop,Undergrad,59.6,09-04-2023,62421.0,Partial,Needs scholarship support,65.9,Medium (50-75%),Medium (5-8),11-15,Q3
S0076,25,Female,Pune,MCA,19.7,100.8,7.62,Yes,Mobile,High School,73.7,04-11-2025,53966.0,No,Late enrollment,100.0,High (>75%),Medium (5-8),16-20,Q4
S0077,22,Female,Kolkata,NONE,11.5,94.8,6.55,Yes,Laptop,NONE,91.5,23-07-2024,59487.0,No,Needs scholarship support,94.8,High (>75%),Medium (5-8),11-15,Q2
S0078,21,Male,Delhi,BSC,14.0,102.9,6.27,No,Mobile,Phd,67.0,23-08-2024,62630.0,NONE,Prefers evening classes,100.0,High (>75%),Medium (5-8),11-15,Q3
S0079,22,Male,Kolkata,ME,15.5,52.5,7.44,No,Tablet,NONE,59.7,17-11-2024,62571.0,Yes,Needs scholarship support,52.5,Medium (50-75%),Medium (5-8),16-20,Q4
S0080,16,Male,Remote,BSC,10.0,88.9,6.03,Yes,Mobile,NONE,96.2,25-02-2024,60370.5,Partial,Transferred from another program,88.9,High (>75%),Medium (5-8),6-10,Q2
S0081,21,Prefer_not_to_say,Hyderabad,BSC,13.1,101.3,7.69,Yes,Tablet,Undergrad,46.3,13-06-2025,72910.0,No,Needs scholarship support,100.0,High (>75%),Medium (5-8),11-15,Q3
S0082,23,Female,Remote,BBA,12.1,55.9,5.16,Yes,Tablet,Phd,35.0,07-06-2025,63628.0,Partial,Late enrollment,55.9,Medium (50-75%),Medium (5-8),11-15,Q2
S0083,28,Prefer_not_to_say,Chennai,EE,12.5,49.0,8.43,No,Laptop,NONE,74.6,22-10-2023,58047.0,Yes,Transferred from another program,49.0,Low (<50%),High (>8),11-15,Q3
S0084,20,Other,Mumbai,BBA,8.1,89.5,7.77,Yes,Laptop,Undergrad,60.5,27-12-2023,67713.0,Yes,Transferred from another program,89.5,High (>75%),Medium (5-8),6-10,Q1
S0085,19,NONE,Hyderabad,NONE,12.1,79.5,7.51,No,Desktop,Undergrad,52.7,14-08-2024,69516.0,No,Transferred from another program,79.5,High (>75%),Medium (5-8),11-15,Q2
S0086,20,Other,Mumbai,BSC,14.5,95.5,8.38,No,Tablet,Phd,78.6,06-08-2023,50179.0,NONE,Good coder,95.5,High (>75%),High (>8),11-15,Q3
S0087,25,Male,Pune,EE,19.3,53.4,9.2,Yes,Mobile,NONE,71.7,18-08-2023,64779.0,NONE,,53.4,Medium (50-75%),High (>8),16-20,Q4
S0088,23,NONE,Delhi,BBA,16.8,92.7,8.42,Yes,Laptop,Postgrad,59.5,25-12-2023,60370.5,Yes,,92.7,High (>75%),High (>8),16-20,Q4
S0089,20,NONE,Bengaluru,BSC,22.8,57.1,4.99,No,Mobile,Phd,48.8,28-04-2023,57619.0,Yes,Late enrollment,57.1,Medium (50-75%),Low (<5),20+,Q4
S0090,24,Female,Remote,ECE,8.2,54.8,5.66,Yes,Tablet,Postgrad,81.1,08-10-2024,71006.0,NONE,,54.8,Medium (50-75%),Medium (5-8),6-10,Q1
S0091,22,Female,Kolkata,BBA,16.4,54.9,6.45,NONE,Laptop,NONE,77.8,04-06-2025,58800.0,Yes,Needs scholarship support,54.9,Medium (50-75%),Medium (5-8),16-20,Q4
S0092,26,Female,Delhi,EE,12.9,93.9,7.23,No,Mobile,High School,66.5,15-05-2025,61005.0,No,Prefers evening classes,93.9,High (>75%),Medium (5-8),11-15,Q3
S0093,19,Male,Hyderabad,BBA,22.9,84.9,7.15,No,NONE,Phd,95.7,15-09-2024,60370.5,No,,84.9,High (>75%),Medium (5-8),20+,Q4
S0094,21,Male,Mumbai,MBA,8.0,76.4,6.33,No,Laptop,Postgrad,51.9,30-01-2023,60125.0,Partial,,76.4,High (>75%),Medium (5-8),6-10,Q1
S0095,21,NONE,Kolkata,MBA,7.8,66.5,7.42,No,Mobile,NONE,45.1,07-10-2023,51230.0,NONE,,66.5,Medium (50-75%),Medium (5-8),6-10,Q1
S0096,16,NONE,Mumbai,NONE,9.0,97.6,6.29,No,Laptop,NONE,70.9,01-08-2025,48480.0,Yes,Needs scholarship support,97.6,High (>75%),Medium (5-8),6-10,Q1
S0097,23,Prefer_not_to_say,Chennai,ECE,1.4,68.5,6.47,No,Tablet,Undergrad,67.3,26-12-2023,72756.0,Partial,Needs scholarship support,68.5,Medium (50-75%),Medium (5-8),0-5,Q1
S0098,23,Female,Mumbai,ME,9.4,94.0,5.51,Yes,Tablet,High School,70.9,07-05-2023,53224.0,No,,94.0,High (>75%),Medium (5-8),6-10,Q2
S0099,22,Male,Chennai,ME,8.2,71.3,6.09,No,Tablet,Phd,64.4,08-02-2024,52069.0,NONE,Prefers evening classes,71.3,Medium (50-75%),Medium (5-8),6-10,Q1
S0100,21,Female,Pune,EE,12.8,67.6,5.58,Yes,Laptop,Postgrad,73.3,13-03-2023,42773.0,No,,67.6,Medium (50-75%),Medium (5-8),11-15,Q3
S0101,17,Other,Kolkata,MCA,13.7,72.8,6.03,NONE,Mobile,NONE,49.2,28-01-2025,54888.0,Yes,Needs scholarship support,72.8,Medium (50-75%),Medium (5-8),11-15,Q3
S0102,20,Other,Kolkata,ME,0.0,63.1,8.46,Yes,NONE,Postgrad,89.7,04-04-2023,49415.0,Partial,,63.1,Medium (50-75%),High (>8),0-5,
S0103,21,Female,Bengaluru,EE,16.8,89.9,6.06,Yes,Laptop,NONE,66.8,21-01-2024,73136.0,Yes,Late enrollment,89.9,High (>75%),Medium (5-8),16-20,Q4
S0104,19,Female,Hyderabad,ECE,9.1,75.2,7.15,Yes,Laptop,Phd,84.8,09-04-2024,68079.0,Yes,,75.2,High (>75%),Medium (5-8),6-10,Q2
S0105,21,Female,Chennai,MCA,7.5,58.9,7.79,Yes,NONE,NONE,73.1,11-06-2023,54495.0,NONE,Transferred from another program,58.9,Medium (50-75%),Medium (5-8),6-10,Q1
S0106,24,Female,Bengaluru,MCA,14.5,99.0,7.42,NONE,Mobile,Postgrad,74.9,16-11-2023,78019.0,NONE,,99.0,High (>75%),Medium (5-8),11-15,Q3
S0107,29,Prefer_not_to_say,Mumbai,MBA,5.4,68.0,6.17,No,Mobile,Phd,76.5,06-03-2025,67854.0,Yes,,68.0,Medium (50-75%),Medium (5-8),6-10,Q1
S0108,23,NONE,Mumbai,NONE,21.2,77.6,8.04,Yes,Laptop,Postgrad,74.7,23-06-2025,57401.0,NONE,,77.6,High (>75%),High (>8),20+,Q4
S0109,23,Female,Bengaluru,BSC,17.9,99.4,6.51,No,Desktop,Undergrad,77.6,06-09-2023,40005.0,Partial,,99.4,High (>75%),Medium (5-8),16-20,Q4
S0110,22,NONE,Kolkata,MCA,9.7,82.5,7.35,Yes,NONE,Phd,87.9,11-02-2025,78328.0,Partial,Prefers evening classes,82.5,High (>75%),Medium (5-8),6-10,Q2
S0111,16,Male,Mumbai,CS,3.4,52.0,7.15,No,Tablet,Phd,70.9,21-11-2024,48883.0,Yes,Good coder,52.0,Medium (50-75%),Medium (5-8),0-5,Q1
S0112,22,Female,Remote,EE,18.8,101.4,7.08,Yes,NONE,High School,78.6,10-06-2023,46837.0,Partial,Transferred from another program,100.0,High (>75%),Medium (5-8),16-20,Q4
S0113,22,NONE,Pune,MCA,11.4,82.7,8.58,Yes,Mobile,Undergrad,66.7,11-08-2024,68181.0,Yes,Good coder,82.7,High (>75%),High (>8),11-15,Q2
S0114,31,Female,Pune,MCA,18.2,65.1,6.36,No,Laptop,Phd,89.6,05-12-2024,79518.0,Partial,Good coder,65.1,Medium (50-75%),Medium (5-8),16-20,Q4
S0115,21,Male,Remote,NONE,4.0,53.4,7.16,Yes,Mobile,NONE,57.9,29-02-2024,71074.0,No,Good coder,53.4,Medium (50-75%),Medium (5-8),0-5,Q1
S0116,23,Female,Bengaluru,CS,9.0,92.6,9.32,No,Laptop,Postgrad,95.0,09-08-2023,64511.0,Yes,,92.6,High (>75%),High (>8),6-10,Q1
S0117,22,Female,Remote,NONE,12.0,82.2,6.45,Yes,Desktop,NONE,67.4,20-12-2023,64758.0,Partial,Transferred from another program,82.2,High (>75%),Medium (5-8),11-15,Q2
S0118,18,Female,Chennai,MCA,12.2,77.0,7.15,Yes,Tablet,Postgrad,46.5,24-04-2023,66827.0,No,Good coder,77.0,High (>75%),Medium (5-8),11-15,Q3
S0119,26,Other,Chennai,BSC,9.7,98.6,8.05,Yes,NONE,NONE,69.9,25-11-2024,66071.0,Yes,Late enrollment,98.6,High (>75%),High (>8),6-10,Q2
S0120,25,Prefer_not_to_say,Bengaluru,CS,15.1,92.3,6.53,Yes,Desktop,Postgrad,57.8,23-06-2024,62250.0,Partial,Good coder,92.3,High (>75%),Medium (5-8),16-20,Q3
S0121,25,Male,Remote,MBA,6.7,54.1,7.96,Yes,Tablet,High School,70.9,16-02-2023,60834.0,Partial,Prefers evening classes,54.1,Medium (50-75%),Medium (5-8),6-10,Q1
S0122,19,Female,Chennai,BBA,11.3,63.7,8.37,No,Mobile,NONE,58.2,09-02-2024,59499.0,No,,63.7,Medium (50-75%),High (>8),11-15,Q2
S0123,27,NONE,Kolkata,MCA,12.6,59.9,7.95,No,Laptop,Phd,61.3,01-08-2023,53968.0,NONE,Late enrollment,59.9,Medium (50-75%),Medium (5-8),11-15,Q3
S0124,17,Other,Remote,MCA,14.6,89.6,5.32,No,Mobile,Postgrad,39.7,11-05-2023,57755.0,NONE,Needs scholarship support,89.6,High (>75%),Medium (5-8),11-15,Q3
S0125,24,NONE,Kolkata,NONE,15.6,47.0,6.33,NONE,Laptop,High School,61.2,24-02-2025,46456.0,No,,47.0,Low (<50%),Medium (5-8),16-20,Q4
S0126,30,Female,Chennai,NONE,6.4,79.2,7.15,NONE,Laptop,NONE,31.6,21-02-2025,59213.0,No,Prefers evening classes,79.2,High (>75%),Medium (5-8),6-10,Q1
S0127,18,Female,Pune,NONE,4.3,90.7,7.11,No,Laptop,NONE,44.2,24-10-2023,52091.0,Yes,Transferred from another program,90.7,High (>75%),Medium (5-8),0-5,Q1
S0128,20,NONE,Chennai,EE,18.4,97.6,7.94,Yes,NONE,NONE,79.4,03-05-2023,51171.0,NONE,Late enrollment,97.6,High (>75%),Medium (5-8),16-20,Q4
S0129,22,Male,Kolkata,BSC,13.7,65.5,7.41,NONE,Desktop,High School,79.8,24-05-2024,61439.0,Yes,,65.5,Medium (50-75%),Medium (5-8),11-15,Q3
S0130,20,Other,Delhi,EE,8.3,94.3,5.6,Yes,Laptop,NONE,74.4,29-06-2023,71136.0,Partial,Needs scholarship support,94.3,High (>75%),Medium (5-8),6-10,Q1
S0131,16,Male,Hyderabad,BBA,19.8,51.6,7.66,Yes,Desktop,NONE,53.5,25-01-2024,67347.0,No,,51.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0132,22,Other,Mumbai,MCA,12.6,95.8,7.93,Yes,Tablet,Phd,67.3,27-05-2024,47436.0,Yes,,95.8,High (>75%),Medium (5-8),11-15,Q3
S0133,18,NONE,Remote,BSC,17.9,52.6,7.87,No,NONE,Postgrad,67.9,15-03-2023,52083.0,No,Prefers evening classes,52.6,Medium (50-75%),Medium (5-8),16-20,Q4
S0134,24,NONE,Delhi,CS,12.3,68.8,8.5,No,Laptop,Undergrad,50.6,01-06-2025,67526.0,Yes,Transferred from another program,68.8,Medium (50-75%),High (>8),11-15,Q3
S0135,19,Male,Chennai,NONE,22.3,92.8,8.2,No,NONE,NONE,90.6,22-03-2024,52140.0,Partial,Good coder,92.8,High (>75%),High (>8),20+,Q4
S0136,28,Male,Pune,MBA,20.8,54.0,7.75,Yes,Mobile,Postgrad,81.2,15-04-2024,58203.0,Partial,Good coder,54.0,Medium (50-75%),Medium (5-8),20+,Q4
S0137,19,Prefer_not_to_say,Bengaluru,MCA,10.8,58.8,7.12,No,Laptop,Undergrad,64.7,01-06-2025,64400.0,NONE,Prefers evening classes,58.8,Medium (50-75%),Medium (5-8),11-15,Q2
S0138,21,Male,Chennai,ME,16.9,88.3,5.21,Yes,Desktop,NONE,68.4,08-12-2024,52253.0,NONE,Transferred from another program,88.3,High (>75%),Medium (5-8),16-20,Q4
S0139,25,Female,Pune,BSC,15.2,88.2,7.72,Yes,Laptop,Undergrad,71.1,08-10-2024,60843.0,Partial,,88.2,High (>75%),Medium (5-8),16-20,Q3
S0140,17,Male,Hyderabad,ME,18.8,83.5,7.45,NONE,Mobile,NONE,37.4,27-12-2024,49328.0,Yes,,83.5,High (>75%),Medium (5-8),16-20,Q4
S0141,23,Female,Chennai,NONE,7.2,86.6,7.53,No,Laptop,Postgrad,64.3,24-10-2023,55189.0,No,,86.6,High (>75%),Medium (5-8),6-10,Q1
S0142,27,Male,Kolkata,NONE,15.4,77.6,5.67,Yes,Laptop,NONE,57.8,19-02-2024,62558.0,Partial,Needs scholarship support,77.6,High (>75%),Medium (5-8),16-20,Q3
S0143,16,Male,Bengaluru,CS,17.3,60.1,5.9,NONE,Desktop,NONE,53.0,29-11-2023,47256.0,Partial,,60.1,Medium (50-75%),Medium (5-8),16-20,Q4
S0144,23,Male,Pune,MCA,3.2,65.7,8.46,Yes,Mobile,NONE,63.8,31-03-2025,63524.0,Yes,,65.7,Medium (50-75%),High (>8),0-5,Q1
